clientAddress,maxSessionTimeSeconds
220.226.206.7,3558
180.151.80.140,3300
52.74.219.71,2060
119.81.61.166,2060
121.58.175.128,2060
223.182.246.141,2060
106.186.23.95,2060
52.74.59.227,2059
54.251.151.39,2058
54.169.77.128,2058
14.97.148.248,2058
117.242.50.53,2058
54.169.191.85,2058
78.46.60.71,2056
144.76.99.19,2056
27.34.253.46,2056
213.239.204.204,2056
182.74.233.26,2055
175.101.80.134,2055
148.251.179.85,2054
103.24.126.13,2053
103.49.253.196,2053
8.37.224.151,2053
117.239.35.226,2052
1.38.23.156,2052
59.96.58.142,2052
180.179.213.71,2052
14.139.208.84,2051
124.123.26.128,2050
168.235.197.12,2050
180.179.213.94,2050
95.172.74.61,2050
117.204.53.249,2050
70.39.187.227,2050
182.73.65.210,2049
180.179.213.70,2049
37.228.104.84,2049
117.217.52.3,2049
74.125.63.33,2048
176.9.154.132,2048
122.252.231.14,2048
14.139.194.12,2047
117.196.52.186,2047
168.235.197.173,2047
54.240.196.33,2046
103.21.127.78,2046
220.227.97.99,2046
103.15.63.41,2046
115.99.248.245,2046
37.228.107.79,2046
103.16.70.141,2045
70.39.187.216,2044
116.74.160.36,2044
49.207.207.202,2044
14.139.188.114,2043
107.23.255.12,2043
59.144.58.37,2043
203.200.213.170,2042
61.12.81.26,2042
117.230.169.169,2042
117.98.117.176,2042
103.12.119.2,2041
122.172.183.180,2041
59.145.202.18,2040
103.1.100.211,2040
103.24.124.124,2040
117.193.95.48,2040
107.167.107.149,2040
103.5.132.66,2039
107.167.108.91,2039
103.16.70.195,2039
37.228.107.90,2039
117.199.48.68,2039
27.5.149.41,2037
116.202.34.84,2037
115.184.198.199,2037
103.16.70.14,2037
103.25.0.210,2036
120.60.144.98,2035
117.199.40.124,2035
170.61.237.1,2035
117.99.183.172,2034
117.214.180.31,2034
115.248.70.101,2034
49.206.180.224,2034
125.19.44.66,2034
49.248.247.194,2034
1.39.32.1,2033
103.21.125.79,2033
1.39.14.64,2033
210.212.246.35,2033
112.79.37.49,2032
59.88.174.253,2032
45.117.201.156,2032
116.203.96.135,2030
37.228.105.37,2030
111.93.187.150,2030
107.167.107.131,2029
14.139.221.18,2028
117.193.245.164,2028
103.38.129.3,2028
103.249.43.226,2027
54.228.16.12,2027
14.139.187.130,2027
1.22.213.213,2027
122.177.202.118,2027
203.78.4.10,2026
177.71.207.172,2026
113.193.168.95,2026
123.201.227.171,2026
168.235.197.232,2026
220.226.100.198,2026
1.23.8.100,2025
49.248.138.250,2025
70.39.187.208,2024
103.31.214.106,2024
1.39.34.234,2024
14.142.16.19,2024
111.91.38.40,2024
107.167.109.84,2024
175.101.10.244,2023
103.246.106.10,2022
61.16.130.134,2022
124.123.232.90,2022
207.46.13.22,2021
59.161.254.21,2021
175.101.14.236,2021
202.65.159.190,2021
203.110.246.22,2021
103.15.249.113,2020
125.18.135.86,2020
59.180.166.61,2019
123.63.60.201,2019
103.31.214.166,2019
1.186.37.25,2019
183.83.165.245,2019
54.251.31.140,2018
117.205.91.68,2017
27.60.19.132,2017
202.65.144.206,2017
106.216.156.255,2017
61.3.199.252,2016
103.16.70.157,2016
14.99.146.106,2015
203.99.208.2,2015
203.147.88.86,2014
107.167.109.199,2014
103.31.214.170,2014
107.167.108.103,2014
66.249.71.126,2014
103.248.35.3,2013
27.34.253.42,2013
1.23.99.67,2013
27.251.37.40,2012
198.28.92.5,2012
117.195.26.164,2012
121.243.112.118,2012
117.204.164.79,2011
74.125.56.193,2010
115.184.120.202,2009
103.6.156.176,2009
203.88.23.34,2008
103.16.70.144,2008
66.249.71.110,2007
66.249.71.118,2007
120.56.195.83,2007
203.191.34.178,2007
14.139.217.139,2005
122.248.183.22,2005
54.169.20.106,2004
124.253.237.68,2004
14.141.142.122,2004
54.169.0.163,2004
1.38.18.197,2004
107.167.109.101,2004
168.235.197.16,2004
54.169.78.51,2003
49.213.57.125,2003
1.39.62.184,2003
14.139.226.10,2003
1.39.62.35,2003
122.171.100.14,2003
106.218.111.94,2002
202.12.83.44,2002
203.197.123.133,2001
118.102.239.146,2000
70.39.187.105,2000
14.139.181.229,2000
150.107.215.121,2000
115.248.233.203,1999
37.228.105.3,1998
119.42.157.129,1998
14.139.242.99,1997
122.171.78.122,1997
210.56.146.182,1997
168.235.197.241,1997
117.242.50.72,1997
54.232.40.76,1997
66.249.71.69,1996
183.87.118.22,1996
117.212.229.131,1995
66.249.71.63,1995
182.72.224.130,1995
202.88.250.118,1995
123.63.0.157,1994
106.220.129.30,1994
49.205.248.150,1993
14.139.246.27,1993
203.147.88.114,1993
122.168.182.123,1992
117.226.63.81,1992
168.235.197.172,1991
112.133.229.101,1991
124.123.195.74,1991
202.12.83.41,1991
65.248.100.253,1991
219.90.96.94,1991
37.228.107.94,1990
112.79.37.154,1990
54.245.168.44,1990
117.221.181.137,1989
115.113.174.100,1989
43.241.64.134,1988
117.248.180.21,1988
14.139.125.71,1988
115.248.50.21,1987
103.51.74.101,1987
180.215.122.1,1987
103.16.71.9,1986
116.50.59.180,1986
106.78.112.223,1986
112.133.229.103,1986
54.244.52.204,1986
125.22.49.114,1986
49.207.188.148,1986
115.113.250.2,1986
54.248.220.44,1986
122.173.216.73,1986
107.167.109.80,1985
122.169.146.157,1985
14.139.187.66,1985
59.184.155.112,1984
114.143.43.85,1984
107.167.108.34,1983
203.88.6.38,1983
202.65.155.226,1982
54.169.164.205,1982
168.235.195.55,1982
54.169.64.74,1982
103.21.125.78,1981
1.39.63.230,1981
168.235.197.105,1981
111.93.6.230,1981
14.139.241.84,1981
103.16.70.147,1981
14.98.88.125,1981
14.97.114.142,1981
67.228.248.66,1981
183.87.106.126,1981
120.29.232.107,1980
106.51.232.253,1980
43.227.129.44,1980
37.228.105.40,1980
49.128.160.78,1979
49.248.61.102,1979
103.49.121.2,1978
115.242.139.183,1977
122.168.5.246,1976
49.205.47.172,1975
112.79.38.156,1975
122.15.20.34,1975
203.110.246.25,1975
175.101.53.33,1975
107.167.107.231,1975
103.6.158.191,1975
125.20.9.248,1975
1.39.60.137,1974
168.235.197.13,1974
106.193.179.190,1974
54.169.79.96,1973
157.55.39.61,1973
108.171.159.47,1972
183.82.197.174,1972
175.101.63.122,1972
106.208.33.96,1971
107.167.107.106,1971
180.215.122.213,1971
103.225.42.88,1971
124.40.244.201,1970
107.167.108.121,1970
198.182.52.26,1970
117.247.84.184,1967
168.235.196.45,1967
124.30.5.130,1967
123.236.254.36,1967
117.203.209.236,1966
122.161.68.249,1966
1.39.13.11,1965
117.244.90.160,1965
124.40.246.212,1965
66.179.73.196,1965
115.99.11.160,1964
54.241.32.108,1963
14.139.249.194,1962
168.235.197.112,1962
59.89.44.146,1962
182.156.71.169,1962
1.38.19.35,1961
112.79.38.37,1961
123.201.15.176,1960
223.223.151.253,1960
43.224.156.73,1960
183.82.201.92,1959
103.37.201.105,1959
103.255.224.118,1959
223.227.164.120,1958
43.247.156.5,1958
182.65.185.7,1957
123.63.237.217,1957
74.86.158.109,1956
103.16.71.16,1956
1.39.35.2,1955
175.100.154.88,1955
110.173.186.66,1955
54.250.253.236,1954
1.39.32.88,1954
103.27.8.44,1953
125.17.164.241,1953
117.198.98.127,1953
112.79.37.207,1952
123.136.207.137,1952
14.139.41.124,1952
106.77.133.11,1952
27.4.48.24,1952
103.38.246.7,1951
117.214.248.40,1951
119.235.50.14,1950
107.167.109.119,1950
223.176.148.49,1950
175.101.16.8,1950
106.192.143.247,1949
106.66.106.139,1949
193.163.248.30,1949
111.91.120.226,1949
103.21.125.80,1948
1.186.79.11,1948
168.235.197.212,1948
14.139.160.5,1947
14.98.48.150,1947
106.51.134.74,1946
182.19.30.177,1946
124.123.205.189,1945
14.99.111.180,1945
103.230.222.178,1945
122.177.107.225,1944
107.167.109.202,1943
125.16.34.66,1943
103.16.69.12,1943
168.235.197.227,1942
117.204.183.212,1942
168.235.197.151,1942
182.237.17.134,1942
66.249.82.191,1942
183.82.78.242,1941
163.47.12.104,1941
106.223.130.145,1941
171.50.98.245,1941
168.235.197.66,1940
115.250.113.85,1939
202.63.100.195,1939
14.99.196.68,1937
14.139.128.20,1937
103.22.172.139,1937
183.82.243.201,1936
182.71.126.26,1936
124.125.47.227,1936
180.151.211.194,1936
182.66.62.116,1935
1.39.33.211,1934
180.151.95.178,1934
66.249.65.120,1933
1.39.97.76,1933
120.57.132.10,1933
106.51.143.125,1933
121.242.63.60,1933
176.34.159.236,1932
103.14.234.22,1932
54.252.254.204,1932
8.37.227.111,1932
8.37.227.21,1931
117.210.98.197,1931
37.228.106.147,1931
37.228.106.85,1930
107.167.107.50,1930
198.175.152.210,1930
1.186.76.1,1929
54.183.255.140,1928
107.167.107.142,1928
101.63.178.181,1928
106.220.177.206,1927
115.254.34.50,1927
20.139.66.64,1926
168.235.197.225,1925
122.15.156.142,1925
223.223.154.44,1924
54.169.1.152,1923
70.39.185.195,1922
203.122.4.5,1922
168.235.197.226,1921
106.208.249.60,1921
115.96.192.212,1921
168.235.196.74,1920
168.235.197.144,1920
111.119.225.140,1920
1.38.19.178,1920
168.235.196.127,1920
168.235.197.87,1920
1.38.22.107,1920
106.220.209.19,1919
46.165.195.139,1919
54.243.31.236,1918
112.133.222.134,1918
202.63.118.1,1918
115.245.133.148,1918
122.168.28.134,1918
203.91.213.69,1917
59.144.55.162,1917
163.47.12.5,1917
180.151.104.221,1917
59.94.251.84,1916
14.139.125.150,1916
42.107.175.149,1916
103.42.126.174,1916
122.169.219.208,1915
54.209.60.63,1914
175.101.68.67,1912
117.214.166.119,1911
106.216.172.167,1911
116.203.234.200,1911
107.167.109.42,1910
168.235.196.93,1909
1.39.14.156,1909
124.155.242.218,1909
122.161.15.5,1909
1.39.63.213,1908
122.164.16.82,1908
1.39.96.93,1908
45.114.60.240,1907
223.176.158.237,1907
1.39.12.82,1907
223.182.162.148,1907
182.18.177.214,1907
107.167.107.36,1906
101.57.167.2,1906
113.19.212.8,1906
182.68.186.48,1906
223.29.204.2,1905
115.245.36.58,1904
111.93.226.254,1904
115.118.52.241,1904
1.39.14.205,1904
70.39.184.216,1904
106.210.71.85,1904
202.153.41.146,1903
37.228.105.102,1903
202.90.33.151,1903
27.34.252.98,1903
122.174.47.68,1903
14.139.207.165,1903
107.167.109.139,1902
120.60.32.3,1902
220.227.74.49,1902
168.235.197.131,1900
1.39.61.46,1899
101.60.202.195,1899
117.220.188.232,1899
115.249.178.168,1899
220.225.244.116,1897
103.5.19.2,1897
14.139.249.197,1897
70.39.187.186,1897
125.18.235.210,1897
180.87.195.190,1897
112.79.39.131,1896
49.200.249.76,1895
117.198.243.117,1895
1.39.60.28,1895
14.99.230.243,1895
112.79.37.19,1894
117.248.2.133,1894
180.87.253.93,1894
106.220.0.17,1893
1.39.97.97,1893
14.97.172.15,1893
202.153.47.10,1893
14.139.236.210,1892
168.235.197.111,1892
27.7.200.173,1892
14.139.181.178,1892
168.235.197.204,1891
202.52.130.254,1891
1.39.15.101,1891
117.220.122.226,1891
117.208.223.217,1891
70.39.186.139,1890
14.96.6.185,1890
203.110.247.221,1889
122.178.211.208,1889
72.163.220.13,1889
112.79.37.50,1888
117.201.158.51,1888
43.224.128.72,1888
175.101.15.11,1888
175.101.136.202,1887
49.205.73.99,1886
103.27.8.43,1886
107.167.108.38,1885
101.0.38.100,1884
115.244.223.152,1884
1.186.111.224,1884
124.125.239.25,1884
213.244.160.221,1883
27.34.246.249,1883
59.91.156.56,1882
203.145.131.164,1882
103.225.178.217,1882
37.228.105.138,1882
14.139.161.3,1882
103.252.25.189,1881
115.98.54.147,1881
117.239.204.226,1881
107.167.109.64,1881
182.69.247.42,1881
14.140.114.18,1880
182.66.20.111,1880
117.245.34.201,1880
1.39.61.99,1879
1.39.96.31,1879
1.39.13.47,1879
101.221.135.142,1878
112.79.35.221,1878
223.176.151.219,1877
101.63.95.195,1877
122.163.199.177,1876
117.197.244.249,1876
14.139.245.2,1875
103.18.72.94,1875
8.37.227.175,1874
45.112.14.34,1874
122.161.122.240,1874
124.123.187.1,1873
175.101.18.131,1873
61.3.172.199,1873
1.39.13.54,1873
54.252.79.172,1873
37.228.105.185,1873
112.133.229.117,1872
164.100.96.254,1872
1.39.34.93,1871
183.82.25.133,1870
37.228.104.81,1870
70.39.185.213,1869
122.15.73.236,1869
117.214.155.7,1869
180.215.144.98,1869
1.39.61.220,1868
202.142.117.158,1867
54.255.254.236,1867
120.56.207.43,1867
182.56.78.2,1867
168.235.197.107,1867
182.69.108.94,1866
